order_id,user_id,order_date,product_id,product_category,product_name,quantity,price_per_unit,payment_method,order_status
1050,U137,2025-04-24,P994,Fashion,Jeans,2,62.31,Credit Card,Delivered
1051,U049,2025-04-25,P219,Home Decor,Wall Art,3,78.9,UPI,Processing
1052,U036,2025-04-19,P771,Kitchen,Blender,5,86.45,Credit Card,Delivered
1053,U090,2025-04-17,P374,Kitchen,Cutting Board,5,57.21,Credit Card,Processing
1054,U119,2025-04-17,P173,Kitchen,Knife Set,4,35.34,Debit Card,Cancelled
1055,U129,2025-04-19,P143,Fashion,Jeans,5,34.83,Credit Card,Delivered
1056,U127,2025-04-09,P390,Books,Big Data Explained,5,54.08,Credit Card,Returned
1057,U146,2025-04-22,P147,Electronics,Wireless Mouse,5,86.64,UPI,Cancelled
1058,U090,2025-04-16,P250,Home Decor,Wall Clock,5,72.65,UPI,Cancelled
1059,U168,2025-04-20,P208,Electronics,Smartwatch,3,57.53,UPI,Delivered
1060,U166,2025-04-30,P806,Fashion,Jacket,3,26.2,Debit Card,Processing
1061,U069,2025-04-06,P463,Home Decor,Wall Clock,1,96.35,PayPal,Delivered
1062,U044,2025-04-28,P164,Electronics,Wireless Mouse,4,79.22,PayPal,Delivered
1063,U187,2025-05-03,P772,Home Decor,Wall Art,2,46.91,Debit Card,Processing
1064,U152,2025-04-28,P133,Home Decor,Wall Clock,3,56.43,UPI,Processing
1065,U025,2025-04-07,P235,Kitchen,Cutting Board,1,88.33,Debit Card,Returned
1066,U128,2025-04-15,P639,Home Decor,Cushion Cover,4,20.13,Credit Card,Delivered
1067,U104,2025-05-02,P406,Fashion,Jacket,3,54.89,Credit Card,Processing
1068,U039,2025-04-17,P800,Electronics,Bluetooth Headphones,5,30.6,Debit Card,Processing
1069,U178,2025-05-02,P408,Kitchen,Toaster,4,24.35,PayPal,Returned
1070,U101,2025-04-25,P189,Electronics,Wireless Mouse,3,33.68,Credit Card,Delivered
1071,U119,2025-05-01,P893,Electronics,Power Bank,3,83.02,PayPal,Cancelled
1072,U030,2025-04-09,P867,Kitchen,Microwave,1,79.11,Debit Card,Processing
1073,U015,2025-05-03,P201,Fashion,Sunglasses,5,62.2,Debit Card,Returned
1074,U145,2025-04-04,P509,Books,Spark for Dummies,4,46.86,UPI,Processing
1075,U046,2025-04-12,P550,Kitchen,Blender,1,68.53,UPI,Delivered
1076,U141,2025-04-13,P898,Home Decor,Lamp,3,41.6,UPI,Processing
1077,U086,2025-04-04,P295,Electronics,Power Bank,4,39.31,UPI,Returned
1078,U095,2025-04-29,P496,Books,Big Data Explained,3,10.59,Credit Card,Returned
1079,U075,2025-04-11,P258,Kitchen,Microwave,5,57.66,Debit Card,Processing
1080,U019,2025-04-24,P377,Kitchen,Toaster,4,29.61,Credit Card,Returned
1081,U026,2025-04-21,P585,Fashion,Jacket,4,12.75,Credit Card,Returned
1082,U044,2025-04-21,P295,Home Decor,Wall Clock,1,88.48,Credit Card,Delivered
1083,U200,2025-04-26,P383,Home Decor,Wall Art,2,38.91,UPI,Cancelled
1084,U006,2025-04-10,P188,Home Decor,Cushion Cover,3,91.28,Credit Card,Processing
1085,U197,2025-04-28,P688,Kitchen,Toaster,4,66.36,PayPal,Returned
1086,U115,2025-04-27,P248,Books,Spark for Dummies,1,94.75,Credit Card,Cancelled
1087,U138,2025-04-20,P576,Home Decor,Wall Art,4,97.87,Debit Card,Processing
1088,U178,2025-04-04,P471,Books,Spark for Dummies,3,63.13,UPI,Cancelled
1089,U172,2025-04-11,P661,Fashion,T-Shirt,5,25.65,Credit Card,Delivered
1090,U108,2025-04-14,P209,Kitchen,Blender,1,32.56,PayPal,Cancelled
1091,U044,2025-05-03,P350,Home Decor,Lamp,5,71.38,PayPal,Returned
1092,U180,2025-04-20,P621,Books,Data Engineering 101,5,42.06,Credit Card,Delivered
1093,U053,2025-04-29,P397,Kitchen,Toaster,2,17.21,UPI,Cancelled
1094,U139,2025-04-13,P203,Books,AI Revolution,1,42.15,PayPal,Delivered
1095,U025,2025-05-03,P891,Kitchen,Cutting Board,2,34.47,Debit Card,Cancelled
1096,U001,2025-04-25,P582,Fashion,T-Shirt,1,49.87,Credit Card,Delivered
1097,U061,2025-04-18,P271,Kitchen,Microwave,1,18.93,UPI,Cancelled
1098,U044,2025-04-25,P349,Electronics,Bluetooth Headphones,3,59.76,PayPal,Processing
1099,U093,2025-05-03,P642,Home Decor,Wall Clock,2,79.81,PayPal,Cancelled
1100,U039,2025-04-28,P739,Electronics,Bluetooth Headphones,5,31.91,Credit Card,Processing
1101,U100,2025-04-15,P511,Fashion,Sunglasses,5,64.28,Credit Card,Returned
1102,U130,2025-04-10,P131,Fashion,T-Shirt,5,70.46,Credit Card,Cancelled
1103,U193,2025-04-29,P131,Home Decor,Wall Clock,3,57.7,PayPal,Returned
1104,U120,2025-04-23,P287,Electronics,Bluetooth Headphones,5,69.51,Debit Card,Delivered
1105,U044,2025-04-28,P923,Kitchen,Cutting Board,2,72.72,PayPal,Processing
1106,U094,2025-05-02,P976,Books,Clean Code,1,79.15,UPI,Returned
1107,U120,2025-04-29,P231,Kitchen,Microwave,5,56.9,Credit Card,Returned
1108,U145,2025-04-17,P265,Kitchen,Cutting Board,2,29.26,Credit Card,Delivered
1109,U035,2025-04-26,P369,Books,Spark for Dummies,2,89.75,Debit Card,Returned
1110,U078,2025-04-18,P233,Kitchen,Microwave,2,68.11,Debit Card,Cancelled
1111,U144,2025-04-05,P491,Fashion,T-Shirt,4,27.96,UPI,Cancelled
1112,U037,2025-04-27,P701,Books,AI Revolution,5,64.73,PayPal,Delivered
1113,U140,2025-05-02,P823,Electronics,USB-C Cable,1,37.7,PayPal,Delivered
1114,U041,2025-05-01,P582,Books,Clean Code,3,92.61,Credit Card,Cancelled
1115,U024,2025-04-16,P133,Books,Big Data Explained,3,16.55,Credit Card,Delivered
1116,U060,2025-04-28,P667,Electronics,Power Bank,4,69.15,PayPal,Cancelled
1117,U104,2025-04-14,P310,Fashion,T-Shirt,5,78.32,Debit Card,Delivered
1118,U086,2025-04-05,P560,Electronics,USB-C Cable,4,53.4,PayPal,Processing
1119,U153,2025-04-21,P539,Books,Spark for Dummies,4,78.42,Credit Card,Processing
1120,U135,2025-04-20,P710,Books,Data Engineering 101,2,17.02,Debit Card,Cancelled
1121,U188,2025-04-26,P206,Electronics,USB-C Cable,2,18.86,PayPal,Processing
1122,U052,2025-04-05,P652,Electronics,USB-C Cable,1,91.91,Debit Card,Processing
1123,U014,2025-04-23,P723,Electronics,Bluetooth Headphones,1,54.99,Credit Card,Processing
1124,U049,2025-04-25,P809,Fashion,Jacket,4,62.31,Credit Card,Delivered
1125,U151,2025-04-16,P387,Electronics,USB-C Cable,1,16.98,PayPal,Returned
1126,U161,2025-04-20,P420,Electronics,USB-C Cable,3,98.48,UPI,Delivered
1127,U183,2025-04-09,P549,Home Decor,Photo Frame,4,33.58,Credit Card,Returned
1128,U022,2025-05-02,P630,Electronics,USB-C Cable,3,72.54,UPI,Cancelled
1129,U033,2025-04-22,P748,Electronics,Bluetooth Headphones,2,19.72,Credit Card,Processing
1130,U032,2025-04-14,P948,Electronics,Power Bank,5,59.34,Debit Card,Processing
1131,U113,2025-05-02,P807,Books,Big Data Explained,4,48.93,UPI,Cancelled
1132,U043,2025-04-28,P796,Electronics,Bluetooth Headphones,4,46.37,PayPal,Returned
1133,U140,2025-05-02,P892,Electronics,USB-C Cable,3,72.08,Credit Card,Processing
1134,U056,2025-05-02,P392,Kitchen,Blender,2,28.35,Credit Card,Returned
1135,U063,2025-04-29,P497,Fashion,Jacket,2,22.28,PayPal,Cancelled
1136,U023,2025-04-26,P470,Books,Spark for Dummies,5,87.21,PayPal,Delivered
1137,U021,2025-04-10,P543,Home Decor,Lamp,4,53.3,UPI,Cancelled
1138,U145,2025-04-04,P806,Electronics,USB-C Cable,1,95.31,Debit Card,Delivered
1139,U086,2025-04-06,P869,Books,Spark for Dummies,5,58.72,Credit Card,Delivered
1140,U145,2025-04-09,P892,Fashion,Jacket,4,38.6,UPI,Returned
1141,U042,2025-04-04,P342,Fashion,T-Shirt,1,91.25,PayPal,Delivered
1142,U061,2025-04-20,P387,Kitchen,Blender,1,62.61,Debit Card,Cancelled
1143,U082,2025-04-07,P521,Fashion,Jacket,5,96.32,Credit Card,Delivered
1144,U066,2025-04-23,P678,Fashion,Sunglasses,1,39.63,PayPal,Processing
1145,U025,2025-04-04,P922,Books,Big Data Explained,5,33.62,Credit Card,Returned
1146,U179,2025-04-09,P390,Home Decor,Wall Clock,2,91.94,UPI,Processing
1147,U030,2025-04-20,P505,Kitchen,Cutting Board,4,70.64,UPI,Processing
1148,U158,2025-04-19,P305,Electronics,Wireless Mouse,5,62.77,Credit Card,Processing
1149,U096,2025-04-05,P684,Books,Spark for Dummies,5,93.19,Debit Card,Processing
1150,U169,2025-04-24,P645,Books,Data Engineering 101,4,82.06,UPI,Delivered
1151,U173,2025-04-06,P263,Home Decor,Wall Art,1,41.02,UPI,Delivered
1152,U098,2025-04-05,P453,Books,Data Engineering 101,5,47.8,UPI,Cancelled
1153,U006,2025-04-07,P744,Fashion,Jacket,4,35.51,PayPal,Returned
1154,U149,2025-04-14,P168,Fashion,Jacket,2,30.78,Credit Card,Returned
1155,U171,2025-05-02,P666,Fashion,Sneakers,4,45.16,UPI,Cancelled
1156,U159,2025-04-06,P999,Books,Spark for Dummies,2,13.86,Credit Card,Returned
1157,U137,2025-05-02,P673,Kitchen,Knife Set,3,93.73,PayPal,Cancelled
1158,U047,2025-04-09,P493,Books,Data Engineering 101,4,77.37,Credit Card,Processing
1159,U010,2025-04-21,P478,Home Decor,Photo Frame,3,84.34,UPI,Delivered
1160,U136,2025-04-29,P355,Home Decor,Wall Art,4,74.83,Debit Card,Delivered
1161,U046,2025-04-18,P197,Home Decor,Wall Clock,4,40.77,UPI,Cancelled
1162,U119,2025-04-07,P893,Fashion,T-Shirt,1,35.34,UPI,Cancelled
1163,U130,2025-04-24,P835,Books,Spark for Dummies,4,90.63,UPI,Delivered
1164,U077,2025-04-05,P256,Books,Data Engineering 101,5,66.6,UPI,Returned
1165,U061,2025-04-19,P992,Kitchen,Knife Set,5,92.26,Credit Card,Cancelled
1166,U129,2025-04-19,P397,Kitchen,Cutting Board,2,71.98,UPI,Processing
1167,U173,2025-04-12,P377,Books,Data Engineering 101,1,29.93,UPI,Processing
1168,U127,2025-04-28,P583,Books,AI Revolution,5,33.7,PayPal,Cancelled
1169,U077,2025-04-16,P647,Books,AI Revolution,3,87.93,UPI,Cancelled
1170,U063,2025-04-22,P766,Home Decor,Cushion Cover,5,76.79,Credit Card,Cancelled
1171,U163,2025-04-21,P353,Kitchen,Cutting Board,3,61.11,Debit Card,Processing
1172,U101,2025-05-03,P898,Home Decor,Wall Art,4,99.11,UPI,Cancelled
1173,U085,2025-04-25,P563,Home Decor,Photo Frame,2,69.86,Debit Card,Processing
1174,U124,2025-04-19,P765,Kitchen,Knife Set,1,60.69,PayPal,Cancelled
1175,U073,2025-04-28,P203,Fashion,Sneakers,4,71.6,Debit Card,Cancelled
1176,U132,2025-04-11,P189,Electronics,Wireless Mouse,5,72.63,Debit Card,Cancelled
1177,U034,2025-04-22,P439,Kitchen,Cutting Board,2,84.32,UPI,Cancelled
1178,U173,2025-04-05,P484,Fashion,T-Shirt,5,87.95,Credit Card,Delivered
1179,U170,2025-04-16,P432,Kitchen,Toaster,4,53.03,UPI,Cancelled
1180,U117,2025-04-19,P264,Home Decor,Cushion Cover,5,83.12,PayPal,Processing
1181,U163,2025-04-09,P534,Books,AI Revolution,1,72.54,UPI,Processing
1182,U194,2025-04-10,P587,Books,Data Engineering 101,2,82.04,Credit Card,Delivered
1183,U087,2025-04-30,P853,Home Decor,Cushion Cover,2,74.63,PayPal,Returned
1184,U132,2025-05-02,P462,Books,Data Engineering 101,2,77.83,UPI,Returned
1185,U012,2025-04-23,P540,Books,AI Revolution,4,84.58,Debit Card,Processing
1186,U048,2025-04-09,P633,Electronics,Bluetooth Headphones,5,40.69,UPI,Delivered
1187,U013,2025-04-08,P842,Electronics,Power Bank,5,43.64,UPI,Cancelled
1188,U054,2025-04-14,P225,Electronics,Power Bank,5,31.58,Credit Card,Delivered
1189,U030,2025-04-14,P180,Fashion,Sunglasses,1,63.39,Debit Card,Delivered
1190,U166,2025-04-08,P812,Fashion,Sneakers,1,92.75,PayPal,Cancelled
1191,U159,2025-05-01,P146,Electronics,Smartwatch,1,20.61,Credit Card,Processing
1192,U135,2025-04-24,P387,Home Decor,Photo Frame,2,47.02,PayPal,Returned
1193,U184,2025-04-14,P364,Electronics,Wireless Mouse,4,30.62,Credit Card,Delivered
1194,U079,2025-04-15,P686,Books,Clean Code,3,99.14,Credit Card,Cancelled
1195,U031,2025-04-29,P338,Fashion,Sneakers,2,25.19,PayPal,Returned
1196,U059,2025-04-12,P155,Home Decor,Wall Art,5,60.18,PayPal,Cancelled
1197,U048,2025-04-13,P682,Electronics,Power Bank,1,31.27,UPI,Cancelled
1198,U019,2025-05-01,P397,Fashion,Jeans,1,48.72,Credit Card,Delivered
1199,U081,2025-04-21,P588,Fashion,T-Shirt,4,91.35,UPI,Delivered
1200,U048,2025-05-01,P840,Kitchen,Toaster,2,45.29,Credit Card,Returned
1201,U049,2025-04-27,P677,Electronics,Power Bank,4,89.53,UPI,Delivered
1202,U013,2025-05-02,P173,Kitchen,Toaster,4,16.06,PayPal,Cancelled
1203,U136,2025-04-04,P284,Fashion,T-Shirt,4,20.19,PayPal,Cancelled
1204,U195,2025-04-18,P913,Books,AI Revolution,5,71.97,Debit Card,Returned
1205,U111,2025-04-08,P273,Fashion,Jeans,4,26.81,Debit Card,Returned
1206,U164,2025-04-23,P798,Home Decor,Wall Art,5,28.92,PayPal,Returned
1207,U013,2025-04-14,P484,Fashion,Jeans,2,57.97,Credit Card,Processing
1208,U167,2025-04-19,P149,Electronics,Bluetooth Headphones,2,59.2,UPI,Delivered
1209,U028,2025-04-24,P708,Books,Data Engineering 101,4,36.19,PayPal,Returned
1210,U085,2025-05-02,P842,Books,AI Revolution,4,88.86,UPI,Cancelled
1211,U056,2025-04-27,P922,Books,Clean Code,2,76.37,Debit Card,Processing
1212,U004,2025-05-02,P302,Kitchen,Microwave,4,35.28,PayPal,Cancelled
1213,U083,2025-04-04,P142,Fashion,Jacket,5,50.33,PayPal,Returned
1214,U099,2025-04-22,P750,Home Decor,Photo Frame,3,63.61,Debit Card,Returned
1215,U178,2025-04-19,P389,Home Decor,Photo Frame,3,87.01,UPI,Returned
1216,U142,2025-04-09,P452,Books,Big Data Explained,2,86.63,PayPal,Delivered
1217,U040,2025-04-23,P282,Fashion,T-Shirt,3,25.64,PayPal,Processing
1218,U175,2025-04-30,P704,Books,Data Engineering 101,4,57.6,PayPal,Delivered
1219,U159,2025-04-14,P501,Kitchen,Knife Set,4,12.39,Credit Card,Processing
1220,U139,2025-04-06,P130,Kitchen,Toaster,4,25.09,UPI,Processing
1221,U146,2025-04-30,P893,Electronics,Bluetooth Headphones,5,79.21,PayPal,Cancelled
1222,U073,2025-04-30,P298,Books,Spark for Dummies,2,74.12,Debit Card,Delivered
1223,U072,2025-04-18,P903,Fashion,T-Shirt,2,84.55,PayPal,Returned
1224,U010,2025-04-06,P748,Kitchen,Microwave,2,60.9,Debit Card,Returned
1225,U129,2025-04-04,P910,Books,Clean Code,5,42.78,PayPal,Delivered
1226,U136,2025-04-11,P964,Books,Big Data Explained,2,82.33,Credit Card,Processing
1227,U150,2025-04-08,P600,Home Decor,Wall Clock,4,84.14,PayPal,Delivered
1228,U071,2025-04-08,P760,Kitchen,Knife Set,3,14.47,UPI,Delivered
1229,U086,2025-04-25,P933,Electronics,USB-C Cable,4,22.25,Debit Card,Returned
1230,U024,2025-04-29,P342,Books,Clean Code,1,31.58,Credit Card,Returned
1231,U200,2025-04-30,P774,Books,Big Data Explained,4,85.68,PayPal,Cancelled
1232,U185,2025-04-21,P321,Home Decor,Wall Clock,3,41.56,PayPal,Delivered
1233,U107,2025-04-26,P709,Fashion,Sneakers,1,52.59,Credit Card,Delivered
1234,U031,2025-04-26,P479,Kitchen,Knife Set,2,53.68,Credit Card,Cancelled
1235,U066,2025-04-26,P462,Home Decor,Photo Frame,1,41.37,UPI,Delivered
1236,U194,2025-04-15,P350,Electronics,Smartwatch,2,85.36,PayPal,Processing
1237,U121,2025-04-09,P583,Kitchen,Toaster,3,51.61,PayPal,Processing
1238,U028,2025-04-24,P234,Home Decor,Wall Art,2,55.22,Debit Card,Processing
1239,U033,2025-04-24,P632,Books,Data Engineering 101,5,68.1,Credit Card,Processing
1240,U120,2025-04-05,P684,Books,Big Data Explained,5,60.49,UPI,Delivered
1241,U141,2025-04-11,P465,Kitchen,Toaster,4,57.43,Debit Card,Delivered
1242,U170,2025-05-01,P308,Kitchen,Blender,2,14.34,PayPal,Processing
1243,U179,2025-05-01,P664,Kitchen,Cutting Board,3,53.72,Credit Card,Returned
1244,U078,2025-05-02,P103,Home Decor,Lamp,5,56.06,PayPal,Processing
1245,U044,2025-04-10,P781,Electronics,Smartwatch,3,62.79,UPI,Cancelled
1246,U035,2025-04-30,P478,Electronics,USB-C Cable,4,69.6,UPI,Delivered
1247,U184,2025-05-02,P653,Electronics,Smartwatch,3,92.29,UPI,Cancelled
1248,U149,2025-04-22,P988,Fashion,Jeans,2,59.11,UPI,Returned
1249,U186,2025-04-12,P443,Electronics,Smartwatch,2,41.59,Debit Card,Delivered
1250,U084,2025-04-24,P689,Kitchen,Toaster,4,19.42,UPI,Returned
1251,U163,2025-04-18,P262,Kitchen,Microwave,4,99.91,UPI,Cancelled
1252,U131,2025-04-04,P115,Kitchen,Cutting Board,4,37.87,Credit Card,Cancelled
1253,U096,2025-04-28,P218,Kitchen,Cutting Board,4,10.03,Credit Card,Cancelled
1254,U174,2025-04-23,P293,Home Decor,Photo Frame,4,69.34,Debit Card,Cancelled
1255,U173,2025-04-30,P796,Electronics,USB-C Cable,1,28.9,UPI,Processing
1256,U199,2025-04-28,P101,Books,Spark for Dummies,4,50.8,Credit Card,Cancelled
1257,U020,2025-04-26,P507,Electronics,Power Bank,5,15.04,Credit Card,Cancelled
1258,U015,2025-04-04,P728,Fashion,Jacket,2,61.34,UPI,Returned
1259,U146,2025-05-01,P939,Fashion,Jeans,1,53.69,Credit Card,Returned
1260,U010,2025-05-01,P470,Home Decor,Cushion Cover,1,76.22,Debit Card,Processing
1261,U113,2025-04-09,P452,Kitchen,Blender,1,66.59,UPI,Cancelled
1262,U147,2025-04-23,P447,Electronics,Smartwatch,3,89.26,Debit Card,Returned
1263,U011,2025-04-10,P830,Books,Clean Code,2,74.11,Credit Card,Cancelled
1264,U185,2025-04-24,P781,Electronics,USB-C Cable,4,53.58,Debit Card,Cancelled
1265,U040,2025-04-09,P949,Books,Data Engineering 101,5,42.25,Credit Card,Processing
1266,U164,2025-04-07,P745,Electronics,USB-C Cable,4,51.01,UPI,Cancelled
1267,U076,2025-04-20,P203,Fashion,Sneakers,2,58.4,Debit Card,Cancelled
1268,U017,2025-05-02,P595,Electronics,USB-C Cable,2,72.15,PayPal,Cancelled
1269,U004,2025-04-19,P534,Electronics,Bluetooth Headphones,1,46.2,Credit Card,Processing
1270,U136,2025-04-10,P271,Electronics,Wireless Mouse,1,66.37,Credit Card,Returned
1271,U167,2025-04-20,P755,Electronics,Bluetooth Headphones,2,16.54,UPI,Returned
1272,U067,2025-04-18,P872,Kitchen,Blender,5,75.95,Credit Card,Cancelled
1273,U158,2025-04-28,P345,Books,Spark for Dummies,3,14.04,PayPal,Cancelled
1274,U185,2025-04-16,P297,Home Decor,Wall Clock,5,96.42,PayPal,Cancelled
1275,U109,2025-04-18,P288,Fashion,Jeans,4,68.35,UPI,Cancelled
1276,U107,2025-04-08,P424,Kitchen,Blender,5,41.47,PayPal,Cancelled
1277,U134,2025-04-14,P523,Fashion,T-Shirt,1,13.34,UPI,Returned
1278,U180,2025-04-16,P193,Home Decor,Cushion Cover,4,81.46,Debit Card,Delivered
1279,U173,2025-04-16,P545,Electronics,Wireless Mouse,5,11.36,UPI,Cancelled
1280,U142,2025-05-01,P576,Kitchen,Cutting Board,5,67.84,Credit Card,Returned
1281,U048,2025-05-02,P959,Fashion,Sneakers,1,96.04,UPI,Delivered
1282,U130,2025-04-06,P141,Books,Spark for Dummies,5,81.78,Debit Card,Cancelled
1283,U174,2025-04-21,P592,Home Decor,Wall Clock,4,20.15,PayPal,Delivered
1284,U180,2025-05-02,P276,Books,Clean Code,2,54.78,PayPal,Delivered
1285,U005,2025-04-19,P614,Home Decor,Cushion Cover,4,67.34,Credit Card,Returned
1286,U020,2025-04-20,P314,Electronics,USB-C Cable,2,70.22,Debit Card,Processing
1287,U200,2025-04-22,P695,Books,Spark for Dummies,3,31.51,Credit Card,Delivered
1288,U174,2025-04-17,P571,Books,AI Revolution,5,38.01,Debit Card,Processing
1289,U162,2025-04-08,P778,Electronics,Bluetooth Headphones,1,51.38,UPI,Returned
1290,U021,2025-04-11,P745,Kitchen,Cutting Board,3,16.66,PayPal,Cancelled
1291,U164,2025-04-14,P126,Home Decor,Lamp,4,37.39,PayPal,Returned
1292,U055,2025-05-03,P231,Kitchen,Toaster,1,50.46,Debit Card,Processing
1293,U049,2025-04-14,P803,Electronics,Smartwatch,2,98.13,Credit Card,Cancelled
1294,U021,2025-04-04,P794,Fashion,Jeans,3,36.47,Debit Card,Delivered
1295,U090,2025-04-17,P812,Electronics,Power Bank,3,92.08,UPI,Returned
1296,U138,2025-05-03,P453,Kitchen,Microwave,2,71.28,Credit Card,Returned
1297,U136,2025-04-09,P804,Kitchen,Blender,4,31.25,UPI,Processing
1298,U138,2025-04-15,P857,Books,AI Revolution,4,94.67,PayPal,Returned
1299,U198,2025-04-21,P441,Kitchen,Microwave,5,69.21,Credit Card,Delivered
1300,U091,2025-04-30,P814,Books,AI Revolution,2,33.05,Credit Card,Processing
1301,U063,2025-04-19,P610,Fashion,Jeans,2,53.26,PayPal,Processing
1302,U117,2025-04-20,P372,Kitchen,Toaster,1,31.19,Debit Card,Delivered
1303,U021,2025-04-10,P158,Books,Clean Code,2,87.02,UPI,Cancelled
1304,U195,2025-04-06,P374,Electronics,USB-C Cable,1,67.65,Credit Card,Cancelled
1305,U198,2025-04-14,P306,Books,Data Engineering 101,1,61.66,UPI,Processing
1306,U095,2025-05-01,P472,Electronics,Bluetooth Headphones,1,26.99,UPI,Cancelled
1307,U014,2025-04-29,P898,Electronics,Smartwatch,4,32.03,Debit Card,Cancelled
1308,U019,2025-04-15,P839,Home Decor,Wall Clock,3,85.61,PayPal,Cancelled
1309,U101,2025-05-01,P824,Fashion,T-Shirt,2,47.96,PayPal,Delivered
1310,U162,2025-04-21,P515,Electronics,Power Bank,2,70.81,UPI,Cancelled
1311,U140,2025-04-19,P917,Books,AI Revolution,5,62.01,PayPal,Delivered
1312,U059,2025-04-26,P953,Kitchen,Blender,3,76.3,Debit Card,Returned
1313,U128,2025-04-19,P905,Home Decor,Cushion Cover,3,95.41,PayPal,Delivered
1314,U106,2025-04-26,P907,Books,Big Data Explained,4,49.01,Debit Card,Delivered
1315,U142,2025-04-12,P867,Home Decor,Wall Art,4,91.45,Credit Card,Delivered
1316,U097,2025-04-26,P749,Electronics,Smartwatch,3,98.36,UPI,Cancelled
